,ma1,ma2,ma3,ma4,ma5,ma6,ma7,ma8,ma9,ma10
ma1,0,3.214219168,2.552577038,1.448151325,2.464698951,2.322411168,2.811797908,2.352839266,3.703032048,3.52084014
ma2,3.214219168,0,2.671070459,3.512267088,3.435929394,4.109767823,3.338723441,2.946929306,3.705448217,4.028502034
ma3,2.552577038,2.671070459,0,3.500983098,3.123240633,1.888108423,3.00470687,3.209672783,3.245430159,3.698194976
ma4,1.448151325,3.512267088,3.500983098,0,2.733304142,3.402313238,3.804056631,2.811797908,3.566435175,3.870590625
ma5,2.464698951,3.435929394,3.123240633,2.733304142,0,2.697219336,2.101800457,1.160292487,2.285816159,3.453978813
ma6,2.322411168,4.109767823,1.888108423,3.402313238,2.697219336,0,2.82316686,3.112059725,3.384962528,3.768474851
ma7,2.811797908,3.338723441,3.00470687,3.804056631,2.101800457,2.82316686,0,1.448151325,3.94389099,3.750431777
ma8,2.352839266,2.946929306,3.209672783,2.811797908,1.160292487,3.112059725,1.448151325,0,3.177072949,3.490472444
ma9,3.703032048,3.705448217,3.245430159,3.566435175,2.285816159,3.384962528,3.94389099,3.177072949,0,4.041810171
ma10,3.52084014,4.028502034,3.698194976,3.870590625,3.453978813,3.768474851,3.750431777,3.490472444,4.041810171,0
